"instId";"inst_name";"rgx_match";"rgx_no_match"
185;"Simon Fraser University (SFU)";"(=?.*simon)(=?.*fraser)";NA
186;"Lehigh University";"lehigh";NA
187;"Bowling Green State University";"(?:(=?.*bowling)(=?.*green))|\bbgsu\b";NA
188;"Tulane University";"tulane";NA
189;"University of Memphis";"memphis";NA
190;"University of Denver";"denver";"ansch|color|\bcu\b|\buc\b|metro|stat"
191;"University of Colorado, Anschutz (CU Anschutz)";"anschutz";NA
192;"University of Colorado Denver";"(=?.*(?:color|uc|cu))(=?.*denver)";"ansch"
193;"Marquette University";"marq";NA
194;"Towson University";"towson";NA
195;"Colorado State University";"(=?.*color)(=?.*stat)";NA
196;"Dartmouth College";"dartmouth";"mass?a"
197;"American University";"american";"paris|pan|cairo|gilder|beirut|film|india|argosy|rome|richmond|catholic|meteor|iber|conservatory|tech"
198;"University of Houston (UH)";"houston";"\bsam\b|stat|texas|\but\b|bauer|lake|clear"
199;"C. T. Bauer College of Business | University of Houston (UH)";"bauer";NA
200;"University of Houston–Clear Lake";"(=?.*(?:houston|\buh\b))(=?.*(?:clear|lake))";NA
201;"University of South Carolina";"(?=.*south\b)(?=.*carol)";"medi|stat|darla|moo?re|business"
202;"Darla Moore School of Business | University of South Carolina";"darla|(?:(?=.*moo?re\b)(?=.*carol))";NA
203;"University of Alberta";"alberta";"design"
204;"Western Michigan University";"(?=.*mich)(?=.*west)";NA
205;"Eastern Michigan University";"(?=.*mich)(?=.*east)";NA
206;"Central Michigan University";"(?=.*mich)(?=.*cent)";"michener"
207;"Michigan Technological University";"(?=.*mich)(?=.*tech)";NA
208;"Northern Michigan University";"(?=.*mich)(?=.*north)";NA
209;"Mercy College";"mercy";"detr|hurst"
210;"Rensselaer Polytechnic Institute (RPI)";"(?=.*rens)(?=.*poly)|\brpi\b";NA
211;"Washington State University";"(?=.*wash)(?=.*stat)";"east|west"
212;"Eastern Washington University";"(?=.*wash)(?=.*east)";NA
213;"Western Washington University";"(?=.*wash)(?=.*west)";NA
214;"University of Central Florida";"(?=.*florida)(?=.*cent)";NA
215;"Florida Atlantic University";"(?=.*florida)(?=.*atlantic)";NA
216;"Florida International University";"(?=.*florida)(?=.*inter)";NA
217;"Miami University";"(?=.*miami)(?=.*(?:ohio|oxford))";"nova|albizu|flor|\bfl\b|(?=.*\bof\b)^(?!.*ohio)"
218;"University of Miami";"(?=.*miami)(?=.*(of|florida))";"ohio|oxford"
219;"Indiana University Bloomington";"bloo?min|indiana";"purdue|uipui|polis|kelley|business"
220;"Kelley School of Business | Indiana University Bloomington";"kelley";NA
221;"Indiana University–Purdue University Indianapolis (IUPUI)";"(?:(?=.*indiana)(?=.*purdue))|\buipui\b";NA
222;"University of New Mexico";"(?=.*new)(?=.*mexico)";"east|west|stat|tech|highland"
223;"Eastern New Mexico University";"(?=.*east)(?=.*new)(?=.*mexico)";NA
224;"Western New Mexico University";"(?=.*west)(?=.*new)(?=.*mexico)";NA
225;"New Mexico Highlands University";"(?=.*high ?land)(?=.*new)(?=.*mexico)";NA
226;"Hofstra University";"hofstra";NA
227;"Adelphi University";"adelphi";"phila"
228;"Texas A&M University (TAMU)";"(?:(?=.*texas)(?=.*a ?& ?m))|\btamu\b";"king|corp|chris|healt|\bhsc\b|galv|west|mays"
229;"Texas A&M University–Kingsville (TAMUK)";"(?:(?=.*texas)(?=.*a ?& ?m)(?=.*king))|\btamuk\b";"corp|chris|healt|\bhsc\b|galv|west|mays"
