institution;matched_instId
american university sis;197
university of chicago cir;70
u of south carolina;201
ecole polytechnique fédã©rale de lausanne (epfl);168
university at buffalo;183
rutgers-new brunswick;111
northeastern dakota tech;33
univ. of  washington;11
university of massachusetts-amherst;15
u of utah;133
wustl;129
u of michigan-ann arbor;17
u of minnesota;62
gerald ford school, umich;17
princeton - woodrow wilson;46
harvard graduate school of education;34
columbia university teacher\\\'s college;31
nyu stern;138
u maryland;27
columbia  university;31
yale divinity;5
mit sloan;13
tufts university- fletcher;123
nyu - institute of fine arts;138
loyola university chicago;341
princeton - wws;46
american catholic academy;370
harvard graduate school of design;34
villanova university;286
university of alabama-birmingham;317
stanford graduate school of education;3
carleton university;248
harvard (business school);34
harvard divinity;34
tufts - fletcher school;123
cornell medical college (sloan-kettering institute);7
harvard school of economics;34
washington university in st.louis;129
fordham;154
central michigan university;206
harvard divinity school;34
florida;140
george washington university (elliott school);97
universtity of toronto;64
suny-binghamton;292
university of pennsylvania, wharton school;21
george washington (elliott school);97
georgia state;175
university of connecticut - storrs;148
miami university ohio;217
northeaster university;33
washington;11
ubc;108
purdue-west lafayette;36
university of maryland--collegepark;27
university of illinoisã¢â‚¬â€œurbana-champaign;25
psu;76
john hopkins;68
pratt;167
binghamton university suny;292
university of illinois - urbana;25
purdue university west lafayette;36
mcgill u;102
umich at ann arbor;17
gatech;9
columbia mailman school of public health;31
purdue universityã¢â‚¬â€œwest lafayette;36
duquesne;304
harvard seas;34
suny,stonybrook;184
northwestern igp;44
columbia unifersity;31
rice univ;90
purdue- w. lafayette;36
university of alabama birmingham;317
columbia university teachers college;31
notre dame university;132
univerity of arizona;142
rutgers -new brunswick;111
univ. mo -columbia;31
u of arizona;142
university of hawaii - manoa;59
the city university of new york;137
washington university, st. louis;129
east carolina university;351
kenan flagler business school - unc;80
tufts fletcher;123
nyu sackler institute;138
university of edinburgh;372
university of seattle, washington;11
umass medical;15
eastern new mexico university;223
pacific university;331
loyola college of maryland;342
texas tech university;311
tufts sackler;123
depaul;150
the ohio state university, main campus;92
university of pennsylvania, wharton school of business;21
illinois state university;278
georgetown public policy institute;119
loyola chicago;341
university of southern mississippi;326
oregon heatlh and sciences university;85
pennsylvania state;76
nyu steinhardt;138
tepper school of business - carnegie mellon university;1
new york state university at buffalo;183
hofstra university;226
texas tech university university;311
ecole polytechnique fã©dã©rale de lausanne (epfl);168
british columbia;108
university of washington:seattle;11
the george washington university;97
university of alabama, tuscaloosa;316
maryland university;27
wayne staet university;162
university of texas southwestern medical centre dallas;23
washington state university-pullman;211
rice universityity;90
kellogg school of management - northwestern university;44
carnegie mellon university - tepper school of business;1
usc marshal school of business;23
colorado school of mines;315
university of connecticuit;148
the wharton school - university of pennsylvania;21
howard university;369
university of massachusetts, boston;290
unversity of minnesota twin cities;62
queens;366
new york university (nyu) stern school of business;138
washingon university - st. louis;129
yale school of art;5
city university of new york (cuny) graduate center;137
temple (tyler);94
university of pennsylvania, annenberg school of communication;21
virginia tech (pamplin);121
binghamton;292
uiowa;113
university of illinois chicago (uic);42
university of texas, southwestern medical center;23
dalhousie university;284
california institue of technology (caltech);82
teachers college, columbia university;31
new york university - stern school of business;138
montana state university;313
rutgers university - new brunswick;111
university of alabama, tuscaloosa, birmingham;317
cmu-pitt;1
clark;298
university of miami (florida);218
upenn gse;21
university of maryland, smith school of business;27
brandeis university heller school;136
stanford, gsb;3
stanford university graduate school of business (gsb);3
city university of new york (cuny) graduate centery of new york (cuny) graduate center;137
temple, tyler school of art;94
the pennsylvania state university;76
university of pittsburgh, school of engineering;66
wayne staet university state university;162
iit chicago;70
texas a&m university - college station;228
university of hawaii manoa;59
university of michigan, ford school of public policy;17
duke university fuqua school of business;74
buffalo;183
michigan technological university;207
harvard, ksg;34
uw - seattle;11
brown university university;61
washington state;211
university of pennsylvaniarsity of pennsylvania;21
baylor college of medicine of medicine;164
the london school economics and political science (lse);238
columbia gsas;31
new york university (nyu) wagner;138
stony brook university;184
kentucky university;124
new york university (nyu) - courant;138
memphis university;189
risd;350
mit sloan school of management;13
rochester institute of technology;378
u of pittsburgh;66
nyu - tisch school of the arts;138
rush university;166
tepper school of business, cmu;1
university of minnesota, twin citiessota;62
st. louis university;344
universty of iowa;113
harvard, kennedy school;34
yale school of public health;5
unc;80
gsb - university of chicago;70
haas school of business - university of california, berkeley;47
nyu madrid;138
